ObtenRelojDatosEmps X, 1015, '2017/08/15', '06:36:51', 'N', ' ', ' '
ObtenRelojDatosEmps X, 630, '2017/08/15', '06:38:47', 'N', ' ', ' '
ObtenRelojDatosEmps X, 101, '2017/08/15', '06:42:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 111, '2017/08/15', '06:42:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 108, '2017/08/15', '06:42:17', 'N', ' ', ' '
ObtenRelojDatosEmps X, 104, '2017/08/15', '06:42:19', 'N', ' ', ' '
ObtenRelojDatosEmps X, 102, '2017/08/15', '06:42:25', 'N', ' ', ' '
ObtenRelojDatosEmps X, 114, '2017/08/15', '06:42:30', 'N', ' ', ' '
ObtenRelojDatosEmps X, 109, '2017/08/15', '06:42:34', 'N', ' ', ' '
ObtenRelojDatosEmps X, 365, '2017/08/15', '06:45:34', 'N', ' ', ' '
ObtenRelojDatosEmps X, 325, '2017/08/15', '06:45:37', 'N', ' ', ' '
ObtenRelojDatosEmps X, 341, '2017/08/15', '06:45:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 313, '2017/08/15', '06:45:45', 'N', ' ', ' '
ObtenRelojDatosEmps X, 356, '2017/08/15', '06:45:49', 'N', ' ', ' '
ObtenRelojDatosEmps X, 322, '2017/08/15', '06:46:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3014, '2017/08/15', '06:46:22', 'N', ' ', ' '
ObtenRelojDatosEmps X, 359, '2017/08/15', '06:46:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1003, '2017/08/15', '06:48:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1010, '2017/08/15', '06:48:33', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1011, '2017/08/15', '06:48:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1008, '2017/08/15', '06:49:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1001, '2017/08/15', '06:49:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1009, '2017/08/15', '06:49:17', 'N', ' ', ' '
ObtenRelojDatosEmps X, 100, '2017/08/15', '06:49:20', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1019, '2017/08/15', '06:49:26', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1006, '2017/08/15', '06:49:29', 'N', ' ', ' '
ObtenRelojDatosEmps X, 629, '2017/08/15', '06:50:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 107, '2017/08/15', '06:51:47', 'N', ' ', ' '
ObtenRelojDatosEmps X, 628, '2017/08/15', '06:56:38', 'N', ' ', ' '
ObtenRelojDatosEmps X, 310, '2017/08/15', '07:01:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 623, '2017/08/15', '07:02:10', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3067, '2017/08/15', '07:17:04', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3043, '2017/08/15', '07:17:06', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3065, '2017/08/15', '07:17:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3084, '2017/08/15', '07:17:10', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3063, '2017/08/15', '07:17:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3061, '2017/08/15', '07:17:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3068, '2017/08/15', '07:17:17', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3069, '2017/08/15', '07:17:19', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3040, '2017/08/15', '07:17:21', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3041, '2017/08/15', '07:17:21', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3085, '2017/08/15', '07:17:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3037, '2017/08/15', '07:17:25', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3026, '2017/08/15', '07:17:26', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3058, '2017/08/15', '07:17:28', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3028, '2017/08/15', '07:17:30', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3000, '2017/08/15', '07:17:33', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3015, '2017/08/15', '07:17:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3044, '2017/08/15', '07:17:37', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3042, '2017/08/15', '07:17:40', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3001, '2017/08/15', '07:17:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3035, '2017/08/15', '07:17:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3008, '2017/08/15', '07:17:45', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3047, '2017/08/15', '07:17:47', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3039, '2017/08/15', '07:17:49', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3020, '2017/08/15', '07:17:49', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3045, '2017/08/15', '07:17:51', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3079, '2017/08/15', '07:17:54', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3038, '2017/08/15', '07:17:56', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3036, '2017/08/15', '07:17:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3030, '2017/08/15', '07:17:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3013, '2017/08/15', '07:18:01', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3032, '2017/08/15', '07:18:03', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3033, '2017/08/15', '07:18:03', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3080, '2017/08/15', '07:18:06', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3025, '2017/08/15', '07:18:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3073, '2017/08/15', '07:18:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3072, '2017/08/15', '07:18:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3087, '2017/08/15', '07:18:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3029, '2017/08/15', '07:18:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3046, '2017/08/15', '07:18:25', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1002, '2017/08/15', '07:18:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1000, '2017/08/15', '07:18:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3031, '2017/08/15', '07:21:00', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3017, '2017/08/15', '07:21:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3102, '2017/08/15', '07:21:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3103, '2017/08/15', '07:21:19', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3027, '2017/08/15', '07:21:22', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3021, '2017/08/15', '07:21:24', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3101, '2017/08/15', '07:21:27', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3089, '2017/08/15', '07:21:29', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3076, '2017/08/15', '07:21:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3018, '2017/08/15', '07:21:34', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3019, '2017/08/15', '07:21:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3057, '2017/08/15', '07:21:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3071, '2017/08/15', '07:21:41', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3054, '2017/08/15', '07:21:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3077, '2017/08/15', '07:21:46', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3055, '2017/08/15', '07:21:49', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3056, '2017/08/15', '07:21:52', 'N', ' ', ' '
